curr_title,prev_id,curr_id,n,prev_title,type,connec_tot,conec_perc
Mercedes-Benz,25098794,18564164,134,Mercedes-Benz_in_Formula_One,link,19783,0.68
Mercedes-Benz,829109,18564164,69,Mercedes-Benz_CLK-Class,link,19783,0.35
Mercedes-Benz,532174,18564164,37,Sindelfingen,link,19783,0.19
Mercedes-Benz,1773701,18564164,28,Mercedes-Benz_W114,link,19783,0.14
Mercedes-Benz,695697,18564164,11,Ross_Brawn,link,19783,0.06
Mercedes-Benz,29490,18564164,12,Saddam_Hussein,link,19783,0.06
Mercedes-Benz,1225277,18564164,27,Mexican_Navy,link,19783,0.14
Mercedes-Benz,31803476,18564164,25,Mercedes-Benz_W31,link,19783,0.13
Mercedes-Benz,3294701,18564164,11,Mercedes-Benz_W136,link,19783,0.06
Mercedes-Benz,21240,18564164,14,Nissan,link,19783,0.07
Mercedes-Benz,29381,18564164,40,Semi-trailer_truck,link,19783,0.20
Mercedes-Benz,1773715,18564164,45,Mercedes-Benz_E-Class_(W211),link,19783,0.23
Mercedes-Benz,35493277,18564164,62,Mercedes-Benz_CLA-Class,link,19783,0.31
Mercedes-Benz,45039194,18564164,22,Mercedes-Benz_GLE-Class,link,19783,0.11
Mercedes-Benz,10914566,18564164,11,Nokia_6310i,link,19783,0.06
Mercedes-Benz,3314215,18564164,10,Mercedes_35_hp,link,19783,0.05
Mercedes-Benz,553747,18564164,24,Mercedes-Benz_R-Class,link,19783,0.12
Mercedes-Benz,8924136,18564164,20,Mercedes-Benz_in_motorsport,link,19783,0.10
Mercedes-Benz,444690,18564164,16,Silver_Arrows,link,19783,0.08
Mercedes-Benz,15396440,18564164,12,Mercedes-Benz_Fashion_Week,link,19783,0.06
Mercedes-Benz,1867831,18564164,16,Mercedes-Benz_SL-Class_(R230),link,19783,0.08
Mercedes-Benz,2014714,18564164,17,Mercedes-Benz_Arena_(Stuttgart),link,19783,0.09
Mercedes-Benz,1047044,18564164,40,Mercedes-Benz_Sprinter,link,19783,0.20
Mercedes-Benz,1583712,18564164,40,Mercedes-Benz_U.S._International,link,19783,0.20
Mercedes-Benz,63971,18564164,19,Maserati,link,19783,0.10
Mercedes-Benz,25078779,18564164,12,Smart_(automobile),link,19783,0.06
Mercedes-Benz,19414081,18564164,21,Polish_Special_Forces,link,19783,0.11
Mercedes-Benz,1962378,18564164,11,Mercedes-Benz_W125,link,19783,0.06
Mercedes-Benz,829080,18564164,81,Mercedes-Benz_SLK-Class,link,19783,0.41
Mercedes-Benz,15032675,18564164,84,Mercedes-Benz_SSK,link,19783,0.42
Mercedes-Benz,700494,18564164,38,Mercedes-Benz_GLK-Class,link,19783,0.19
Mercedes-Benz,816274,18564164,24,McLaren_Automotive,link,19783,0.12
Mercedes-Benz,53445,18564164,11,"Palo_Alto,_California",link,19783,0.06
Mercedes-Benz,1225833,18564164,10,SsangYong_Rexton,link,19783,0.05
Mercedes-Benz,3534942,18564164,12,Mercedes-Benz_W196,link,19783,0.06
Mercedes-Benz,86585,18564164,20,Wilhelm_Maybach,link,19783,0.10
Mercedes-Benz,290181,18564164,23,Toyota_Land_Cruiser,link,19783,0.12
Mercedes-Benz,1834952,18564164,24,Toyota_Land_Cruiser_(J40),link,19783,0.12
Mercedes-Benz,5533631,18564164,13,Tesla_Motors,link,19783,0.07
Mercedes-Benz,28565,18564164,67,Stuttgart,link,19783,0.34
Mercedes-Benz,184192,18564164,32,Studebaker,link,19783,0.16
Mercedes-Benz,5848046,18564164,11,Truck_racing,link,19783,0.06
Mercedes-Benz,105167,18564164,23,"Tuscaloosa,_Alabama",link,19783,0.12
Mercedes-Benz,10810050,18564164,13,Wolff_Olins,link,19783,0.07
Mercedes-Benz,145236,18564164,15,Yves_Saint_Laurent_(designer),link,19783,0.08
Mercedes-Benz,200660,18564164,16,Straight-five_engine,link,19783,0.08
Mercedes-Benz,2841656,18564164,11,Stroke_ratio,link,19783,0.06
Mercedes-Benz,2320513,18564164,79,List_of_Mercedes-Benz_vehicles,link,19783,0.40
Mercedes-Benz,18329,18564164,37,Lexus,link,19783,0.19
Mercedes-Benz,444649,18564164,14,Four-wheel_drive,link,19783,0.07
Mercedes-Benz,11867,18564164,279,Germany,link,19783,1.41
Mercedes-Benz,34315325,18564164,28,Euro_Truck_Simulator_2,link,19783,0.14
Mercedes-Benz,26114145,18564164,10,List_of_Super_Bowl_commercials,link,19783,0.05
Mercedes-Benz,36329268,18564164,20,Kompressor_(Mercedes-Benz),link,19783,0.10
Mercedes-Benz,118331,18564164,11,"Farmington_Hills,_Michigan",link,19783,0.06
Mercedes-Benz,8552825,18564164,15,George_W._Bush_Presidential_Center,link,19783,0.08
Mercedes-Benz,961067,18564164,68,Large_goods_vehicle,link,19783,0.34
Mercedes-Benz,185490,18564164,44,Gottlieb_Daimler,link,19783,0.22
Mercedes-Benz,242638,18564164,17,J._Clifford_Baxter,link,19783,0.09
Mercedes-Benz,173861,18564164,17,Keeping_Up_Appearances,link,19783,0.09
Mercedes-Benz,895086,18564164,23,Jeep_Wrangler,link,19783,0.12
Mercedes-Benz,11225,18564164,48,Ferrari,link,19783,0.24
Mercedes-Benz,1592964,18564164,17,List_of_Mercedes-Benz_engines,link,19783,0.09
Mercedes-Benz,3558731,18564164,11,Harman_International_Industries,link,19783,0.06
Mercedes-Benz,1414524,18564164,14,Harman_Kardon,link,19783,0.07
Mercedes-Benz,42977,18564164,1495,Daimler_AG,link,19783,7.56
Mercedes-Benz,43837100,18564164,16,2014_Paris_Motor_Show,link,19783,0.08
Mercedes-Benz,848,18564164,680,Audi,link,19783,3.44
Mercedes-Benz,5052,18564164,18,Bentley,link,19783,0.09
Mercedes-Benz,2433781,18564164,52,Daimler-Motoren-Gesellschaft,link,19783,0.26
Mercedes-Benz,8540,18564164,23,Diesel_engine,link,19783,0.12
Mercedes-Benz,912025,18564164,41,Crossover_(automobile),link,19783,0.21
Mercedes-Benz,36358972,18564164,32,Comedians_in_Cars_Getting_Coffee,link,19783,0.16
